"F [1427,1656] var1","Finally [1427,1656] var1","{'eventually': {'bound': (1427, 1656), 'expression': 'var1'}}","The formula states that eventually, from time 1427 to 1656, var1 will be true."
(var2 || var3),(var2 or var3),"{'or': ['var2', 'var3']}",The formula evaluates to true if either var2 or var3 is true.
(var4 && var5),(var4 and var5),"{'and': ['var4', 'var5']}",The formula is the logical AND of variables var4 and var5.
"F [777,1915] var6","Finally [777,1915] var6","{'eventually': {'bound': (777, 1915), 'expression': 'var6'}}","The formula is ""Eventually from time 777 to 1915, var6 is true."""
"(var7 until [340,829] var8)","(var7 until [340,829] var8)","{'until': {'bound': (340, 829), 'expressions': ['var7', 'var8']}}","The formula represents an expression that holds true from time 340 to time 829, where the value of var7 is true until var8 becomes true."
"G [224,1953] (var9)","Always [224,1953] (var9)","{'globally': {'bound': (224, 1953), 'expression': 'var9'}}",The formula is true from time 224 to 1953 if var9 is true.
"G [1822,1836] (var10)","Always [1822,1836] (var10)","{'globally': {'bound': (1822, 1836), 'expression': 'var10'}}","The formula states that the variable var10 is true from time 1822 to 1836, continuously."
"(var11 until [1265,1391] var12)","(var11 until [1265,1391] var12)","{'until': {'bound': (1265, 1391), 'expressions': ['var11', 'var12']}}","The formula represents the expression ""var11 until var12 from time 1265 to 1391""."
(var13 && var14),(var13 and var14),"{'and': ['var13', 'var14']}",The formula is a conjunction of var13 and var14.
(var15 || var16),(var15 or var16),"{'or': ['var15', 'var16']}",This formula represents a disjunction (OR) between variables var15 and var16.
"(var17 until [427,1983] var18)","(var17 until [427,1983] var18)","{'until': {'bound': (427, 1983), 'expressions': ['var17', 'var18']}}","The formula evaluates to true from time 427 to 1983, as long as var17 is true until var18 becomes true."
"F [742,1128] var19","Finally [742,1128] var19","{'eventually': {'bound': (742, 1128), 'expression': 'var19'}}","The formula F [742,1128] var19 describes an event that will eventually occur from time 742 to 1128, based on the variable var19."
(var20 || var21),(var20 or var21),"{'or': ['var20', 'var21']}",This formula represents a logical OR operation between variable var20 and variable var21.
(var22 || var23),(var22 or var23),"{'or': ['var22', 'var23']}",This formula represents the logical OR operation between the variables var22 and var23.
"(var24 until [1273,1988] var25)","(var24 until [1273,1988] var25)","{'until': {'bound': (1273, 1988), 'expressions': ['var24', 'var25']}}","The formula represents the expression ""var24 until var25"" from time 1273 to 1988."
not var26,not var26,{'not': 'var26'},The formula is the negation of var26.
"F [906,1614] var27","Finally [906,1614] var27","{'eventually': {'bound': (906, 1614), 'expression': 'var27'}}",The formula represents the eventuality of the variable var27 occurring from time 906 to 1614.
"(var28 until [1148,1246] var29)","(var28 until [1148,1246] var29)","{'until': {'bound': (1148, 1246), 'expressions': ['var28', 'var29']}}",This formula represents the condition where 'var28' holds true from time 1148 to 1246 until 'var29' becomes true.
"(var30 until [578,1045] var31)","(var30 until [578,1045] var31)","{'until': {'bound': (578, 1045), 'expressions': ['var30', 'var31']}}",The formula represents the expression 'var30' until 'var31' from time 578 to 1045.
"(var32 until [1529,1947] var33)","(var32 until [1529,1947] var33)","{'until': {'bound': (1529, 1947), 'expressions': ['var32', 'var33']}}",The formula states that var32 is true from time 1529 to 1947 until var33 becomes true.
(var34 || var35),(var34 or var35),"{'or': ['var34', 'var35']}",The formula represents a logical OR operation between variables var34 and var35.
(var36 && var37),(var36 and var37),"{'and': ['var36', 'var37']}",This formula evaluates to true if both var36 and var37 are true.
not var38,not var38,{'not': 'var38'},The formula is the negation of the variable var38.
"G [1733,1983] (var39)","Always [1733,1983] (var39)","{'globally': {'bound': (1733, 1983), 'expression': 'var39'}}",The formula represents a globally bound expression that is true from time 1733 to 1983 for the variable var39.
"(var40 until [1406,1998] var41)","(var40 until [1406,1998] var41)","{'until': {'bound': (1406, 1998), 'expressions': ['var40', 'var41']}}",The formula represents var40 until var41 from time 1406 to 1998.
(var42 || var43),(var42 or var43),"{'or': ['var42', 'var43']}",This formula represents either var42 or var43 from time a to b.
"G [1246,1273] (var44)","Always [1246,1273] (var44)","{'globally': {'bound': (1246, 1273), 'expression': 'var44'}}",The formula expresses that the variable 44 is true from time 1246 to 1273 and remains true throughout that time.
"F [1056,1112] var45","Finally [1056,1112] var45","{'eventually': {'bound': (1056, 1112), 'expression': 'var45'}}",The formula expresses the eventuality of a variable var45 from time 1056 to 1112.
"F [1876,1934] var46","Finally [1876,1934] var46","{'eventually': {'bound': (1876, 1934), 'expression': 'var46'}}",The formula states that var46 eventually occurs from time 1876 to 1934.
not var47,not var47,{'not': 'var47'},The formula is the negation of var47.
"G [1383,1592] (var48)","Always [1383,1592] (var48)","{'globally': {'bound': (1383, 1592), 'expression': 'var48'}}","The formula states that the variable var48 holds true from time 1383 to 1592, continuously."
(var49 && var50),(var49 and var50),"{'and': ['var49', 'var50']}",This formula evaluates to true if both var49 and var50 are true.
(var51 || var52),(var51 or var52),"{'or': ['var51', 'var52']}","This formula represents a logical OR operation performed between two variables, var51 and var52."
"G [1764,1815] (var53)","Always [1764,1815] (var53)","{'globally': {'bound': (1764, 1815), 'expression': 'var53'}}",The formula is true from time 1764 to 1815 if and only if var53 is true.
"F [1423,1995] var54","Finally [1423,1995] var54","{'eventually': {'bound': (1423, 1995), 'expression': 'var54'}}",The formula expresses that var54 will eventually occur from time 1423 to 1995.
not var55,not var55,{'not': 'var55'},The formula is the negation of the variable var55.
"F [439,1774] var56","Finally [439,1774] var56","{'eventually': {'bound': (439, 1774), 'expression': 'var56'}}","The formula states that the expression ""var56"" will eventually occur from time 439 to 1774."
"F [1333,1521] var57","Finally [1333,1521] var57","{'eventually': {'bound': (1333, 1521), 'expression': 'var57'}}",The formula is true from time 1333 to 1521 if var57 eventually occurs.
"(var58 until [139,338] var59)","(var58 until [139,338] var59)","{'until': {'bound': (139, 338), 'expressions': ['var58', 'var59']}}","The formula states that var58 is true until var59 is true, from time 139 to 338."
"F [1148,1344] var60","Finally [1148,1344] var60","{'eventually': {'bound': (1148, 1344), 'expression': 'var60'}}","The formula states that eventually, the expression represented by var60 will be true from time 1148 to 1344."
"G [188,804] (var61)","Always [188,804] (var61)","{'globally': {'bound': (188, 804), 'expression': 'var61'}}",The formula is true from time 188 to 804 if and only if var61 is true.
"(var62 until [1612,1712] var63)","(var62 until [1612,1712] var63)","{'until': {'bound': (1612, 1712), 'expressions': ['var62', 'var63']}}",The formula represents an expression that evaluates whether var62 holds until var63 within a specific time range from 1612 to 1712.
"(var64 until [213,1755] var65)","(var64 until [213,1755] var65)","{'until': {'bound': (213, 1755), 'expressions': ['var64', 'var65']}}",The formula represents an expression that holds true from time 213 to time 1755 as long as both var64 and var65 are true.
"F [126,931] var66","Finally [126,931] var66","{'eventually': {'bound': (126, 931), 'expression': 'var66'}}","The formula represents that the variable ""var66"" will occur from time 126 to time 931."
(var67 && var68),(var67 and var68),"{'and': ['var67', 'var68']}",This formula represents the logical AND operation between variables var67 and var68.
(var69 && var70),(var69 and var70),"{'and': ['var69', 'var70']}",The formula evaluates to true if both var69 and var70 are true.
(var71 && var72),(var71 and var72),"{'and': ['var71', 'var72']}",This formula evaluates as 'var71' and 'var72' from time a to b.
(var73 || var74),(var73 or var74),"{'or': ['var73', 'var74']}",The formula represents a logical OR operation between variables var73 and var74.
(var75 && var76),(var75 and var76),"{'and': ['var75', 'var76']}",This formula represents the logical conjunction of the variables var75 and var76.
not var77,not var77,{'not': 'var77'},The formula is the negation of var77.
"((var78 until [1248,1392] var79) && (var80 || var81))","((var78 until [1248,1392] var79) and (var80 or var81))","{'and': [{'until': {'bound': (1248, 1392), 'expressions': ['var78', 'var79']}}, {'or': ['var80', 'var81']}]}",The formula represents the conjunction of two sub-formulas. The first sub-formula represents the event of var78 holding true from time 1248 to 1392 until var79 holds true. The second sub-formula represents the disjunction of var80 and var81.
"(G [49,1148] (var82) && G [838,1485] (var83))","(Always [49,1148] (var82) and Always [838,1485] (var83))","{'and': [{'globally': {'bound': (49, 1148), 'expression': 'var82'}}, {'globally': {'bound': (838, 1485), 'expression': 'var83'}}]}",The formula states that both the variable var82 is true from time 49 to 1148 and the variable var83 is true from time 838 to 1485.
(not var84  && (var85 && var86)),(not var84  and (var85 and var86)),"{'and': [{'not': 'var84'}, {'and': ['var85', 'var86']}]}","The formula is a conjunction of three variables, where the first variable is negated. The variables are denoted as var84, var85, and var86."
"F [399,834] G [348,1920] (var87)","Finally [399,834] Always [348,1920] (var87)","{'eventually': {'bound': (399, 834), 'expression': {'globally': {'bound': (348, 1920), 'expression': 'var87'}}}}","The formula states that from time 399 to 834, it is required that from time 348 to 1920, var87 is always true."
"F [116,1703] (var88 || var89)","Finally [116,1703] (var88 or var89)","{'eventually': {'bound': (116, 1703), 'expression': {'or': ['var88', 'var89']}}}",The formula holds true for some time from time 116 to time 1703 if either var88 or var89 is true.
"G [678,1748] (G [5,406] (var90))","Always [678,1748] (Always [5,406] (var90))","{'globally': {'bound': (678, 1748), 'expression': {'globally': {'bound': (5, 406), 'expression': 'var90'}}}}","The formula requires the variable var90 to hold true from time 5 to 406, and this must hold true globally from time 678 to 1748."
"not F [906,1424] var91 ","not Finally [906,1424] var91 ","{'not': {'eventually': {'bound': (906, 1424), 'expression': 'var91'}}}",The formula states that it is not the case that the variable var91 holds true from time 906 to 1424.
"G [1626,1644] ((var92 && var93))","Always [1626,1644] ((var92 and var93))","{'globally': {'bound': (1626, 1644), 'expression': {'and': ['var92', 'var93']}}}",The formula is true from time 1626 to 1644 if both var92 and var93 are true.
"(F [1463,1564] var94 || (var95 until [869,973] var96))","(Finally [1463,1564] var94 or (var95 until [869,973] var96))","{'or': [{'eventually': {'bound': (1463, 1564), 'expression': 'var94'}}, {'until': {'bound': (869, 973), 'expressions': ['var95', 'var96']}}]}","The formula describes an event that occurs from time 1463 to 1564 for var94, or an event that occurs until time 869 to 973 for var95 and var96."
"G [1479,1921] ((var97 || var98))","Always [1479,1921] ((var97 or var98))","{'globally': {'bound': (1479, 1921), 'expression': {'or': ['var97', 'var98']}}}",The formula is true from time 1479 to 1921 if either var97 or var98 is true.
"F [990,1898] (var99 until [566,1462] var100)","Finally [990,1898] (var99 until [566,1462] var100)","{'eventually': {'bound': (990, 1898), 'expression': {'until': {'bound': (566, 1462), 'expressions': ['var99', 'var100']}}}}","The formula describes an event that eventually occurs from time 990 to 1898, until another event occurs from time 566 to 1462, involving variables var99 and var100."
"G [1516,1544] ((var101 until [400,1837] var102))","Always [1516,1544] ((var101 until [400,1837] var102))","{'globally': {'bound': (1516, 1544), 'expression': {'until': {'bound': (400, 1837), 'expressions': ['var101', 'var102']}}}}","The formula is a globally operator applied to an until operator. The until operator has a bound from time 400 to 1837 and contains two expressions, var101 and var102. The globally operator has a bound from time 1516 to 1544."
"not G [278,1291] (var103) ","not Always [278,1291] (var103) ","{'not': {'globally': {'bound': (278, 1291), 'expression': 'var103'}}}","The formula states that the expression ""var103"" is not true from time 278 to 1291."
"F [1,1167] G [1695,1934] (var104)","Finally [1,1167] Always [1695,1934] (var104)","{'eventually': {'bound': (1, 1167), 'expression': {'globally': {'bound': (1695, 1934), 'expression': 'var104'}}}}","The formula states that from time 1 to 1167, it is guaranteed that from time 1695 to 1934, the variable var104 will hold true."
"not (var105 until [836,1059] var106) ","not (var105 until [836,1059] var106) ","{'not': {'until': {'bound': (836, 1059), 'expressions': ['var105', 'var106']}}}",The formula represents the negation of the condition that var105 holds from time 836 to 1059 until var106 holds.
"F [1923,1926] G [1730,1857] (var107)","Finally [1923,1926] Always [1730,1857] (var107)","{'eventually': {'bound': (1923, 1926), 'expression': {'globally': {'bound': (1730, 1857), 'expression': 'var107'}}}}","The formula states that eventually, from time 1923 to 1926, it must always be the case from time 1730 to 1857 that var107 is true."
"((var108 && var109) until [1011,1071] F [277,312] var110)","((var108 and var109) until [1011,1071] Finally [277,312] var110)","{'until': {'bound': (1011, 1071), 'expressions': [{'and': ['var108', 'var109']}, {'eventually': {'bound': (277, 312), 'expression': 'var110'}}]}}",The formula states that both var108 and var109 must be true from time 1011 to 1071 until var110 becomes true from time 277 to 312.
"((var111 && var112) && (var113 until [189,735] var114))","((var111 and var112) and (var113 until [189,735] var114))","{'and': [{'and': ['var111', 'var112']}, {'until': {'bound': (189, 735), 'expressions': ['var113', 'var114']}}]}","The formula represents the conjunction of two conjunctions: var111 and var112, and the until operator from time 189 to 735 between var113 and var114."
"(G [277,752] (var115) && (var116 || var117))","(Always [277,752] (var115) and (var116 or var117))","{'and': [{'globally': {'bound': (277, 752), 'expression': 'var115'}}, {'or': ['var116', 'var117']}]}","The formula states that from time 277 to 752, var115 must always be true, and either var116 or var117 must be true."
"G [1502,1786] ((var118 || var119))","Always [1502,1786] ((var118 or var119))","{'globally': {'bound': (1502, 1786), 'expression': {'or': ['var118', 'var119']}}}",The formula is a globally bound expression that is either var118 or var119 from time 1502 to 1786.
"F [1367,1437] (var120 until [1056,1538] var121)","Finally [1367,1437] (var120 until [1056,1538] var121)","{'eventually': {'bound': (1367, 1437), 'expression': {'until': {'bound': (1056, 1538), 'expressions': ['var120', 'var121']}}}}","The formula expresses that event F will occur from time 1367 to 1437, as long as var120 occurs until the time range from 1056 to 1538 in conjunction with var121."
"not F [1752,1837] var122 ","not Finally [1752,1837] var122 ","{'not': {'eventually': {'bound': (1752, 1837), 'expression': 'var122'}}}",The formula is negation of the event that var122 occurs from time 1752 to 1837.
"G [1806,1950] (G [868,1281] (var123))","Always [1806,1950] (Always [868,1281] (var123))","{'globally': {'bound': (1806, 1950), 'expression': {'globally': {'bound': (868, 1281), 'expression': 'var123'}}}}","The formula represents the condition that the variable ""var123"" must hold globally from time 868 to 1281, and this condition must hold globally from time 1806 to 1950."
"F [1324,1338] (var124 until [440,1905] var125)","Finally [1324,1338] (var124 until [440,1905] var125)","{'eventually': {'bound': (1324, 1338), 'expression': {'until': {'bound': (440, 1905), 'expressions': ['var124', 'var125']}}}}","From time 1324 to 1338, the event 'var124 until [440,1905] var125' eventually occurs."
"((var126 || var127) && G [1786,1804] (var128))","((var126 or var127) and Always [1786,1804] (var128))","{'and': [{'or': ['var126', 'var127']}, {'globally': {'bound': (1786, 1804), 'expression': 'var128'}}]}","The formula is true when either var126 or var127 is true, and var128 is true from time 1786 to 1804."
"not F [1819,1879] var129 ","not Finally [1819,1879] var129 ","{'not': {'eventually': {'bound': (1819, 1879), 'expression': 'var129'}}}","The formula is the negation of the event ""var129"" occurring from time 1819 to 1879."
"(not var130  until [934,1491] (var131 && var132))","(not var130  until [934,1491] (var131 and var132))","{'until': {'bound': (934, 1491), 'expressions': [{'not': 'var130'}, {'and': ['var131', 'var132']}]}}","The formula represents the logical expression ""not var130 until from time 934 to 1491, var131 and var132""."
"G [1659,2001] ((var133 && var134))","Always [1659,2001] ((var133 and var134))","{'globally': {'bound': (1659, 2001), 'expression': {'and': ['var133', 'var134']}}}","The formula states that from time 1659 to 2001, both var133 and var134 must be true at all times."
"G [1303,1477] (G [686,1131] (var135))","Always [1303,1477] (Always [686,1131] (var135))","{'globally': {'bound': (1303, 1477), 'expression': {'globally': {'bound': (686, 1131), 'expression': 'var135'}}}}","The formula states that the expression var135 holds globally from time 1303 to 1477, and within that time range, the expression var135 holds globally from time 686 to 1131."
"(F [1054,1419] var136 || (var137 && var138))","(Finally [1054,1419] var136 or (var137 and var138))","{'or': [{'eventually': {'bound': (1054, 1419), 'expression': 'var136'}}, {'and': ['var137', 'var138']}]}","The formula is true from time 1054 to 1419 if var136 eventually occurs, or if both var137 and var138 occur."
"F [1744,1827] (var139 until [1274,1320] var140)","Finally [1744,1827] (var139 until [1274,1320] var140)","{'eventually': {'bound': (1744, 1827), 'expression': {'until': {'bound': (1274, 1320), 'expressions': ['var139', 'var140']}}}}","The formula states that eventually, from time 1744 to 1827, var139 holds until from time 1274 to 1320, var140 holds."
"(G [1087,1189] (var141) until [1039,1351] not var142 )","(Always [1087,1189] (var141) until [1039,1351] not var142 )","{'until': {'bound': (1039, 1351), 'expressions': [{'globally': {'bound': (1087, 1189), 'expression': 'var141'}}, {'not': 'var142'}]}}","From time 1087 to 1189, the variable var141 holds true until from time 1039 to 1351, the variable var142 does not hold true."
"G [1082,1174] ((var143 && var144))","Always [1082,1174] ((var143 and var144))","{'globally': {'bound': (1082, 1174), 'expression': {'and': ['var143', 'var144']}}}",The formula is true from time 1082 to 1174 if both var143 and var144 are true.
"((var145 || var146) || G [837,1668] (var147))","((var145 or var146) or Always [837,1668] (var147))","{'or': [{'or': ['var145', 'var146']}, {'globally': {'bound': (837, 1668), 'expression': 'var147'}}]}",The formula is a logical OR between (var145 OR var146) OR globally from time 837 to 1668 var147.
"G [832,1496] ((var148 && var149))","Always [832,1496] ((var148 and var149))","{'globally': {'bound': (832, 1496), 'expression': {'and': ['var148', 'var149']}}}",The formula is true from time 832 to 1496 if both var148 and var149 are true.
not not var150,not not var150,{'not': {'not': 'var150'}},The formula not not var150 is a negation of the negation of var150.
"(not var151  until [349,447] (var152 && var153))","(not var151  until [349,447] (var152 and var153))","{'until': {'bound': (349, 447), 'expressions': [{'not': 'var151'}, {'and': ['var152', 'var153']}]}}","The formula states that ""not var151"" is true until time 349 to 447, as long as both ""var152"" and ""var153"" are true."
"((var154 || var155) || G [203,355] (var156))","((var154 or var155) or Always [203,355] (var156))","{'or': [{'or': ['var154', 'var155']}, {'globally': {'bound': (203, 355), 'expression': 'var156'}}]}","The formula represents an expression that is true if either var154 or var155 is true, or if var156 is true from time 203 to 355."
"((var157 until [1443,1541] var158) until [1494,1795] (var159 until [276,401] var160))","((var157 until [1443,1541] var158) until [1494,1795] (var159 until [276,401] var160))","{'until': {'bound': (1494, 1795), 'expressions': [{'until': {'bound': (1443, 1541), 'expressions': ['var157', 'var158']}}, {'until': {'bound': (276, 401), 'expressions': ['var159', 'var160']}}]}}","The formula represents a sequence of events that occur from time 157 to time 158, and then from time 159 to time 160, within the overall time period from time 1494 to time 1795."
"not F [696,908] var161 ","not Finally [696,908] var161 ","{'not': {'eventually': {'bound': (696, 908), 'expression': 'var161'}}}",The formula is the negation of the event that var161 occurs from time 696 to 908.
"(not (var162 until [1539,1689] var163)  && (not var164  || not var165 ))","(not (var162 until [1539,1689] var163)  and (not var164  or not var165 ))","{'and': [{'not': {'until': {'bound': (1539, 1689), 'expressions': ['var162', 'var163']}}}, {'or': [{'not': 'var164'}, {'not': 'var165'}]}]}","This formula represents the conjunction of two conditions. The first condition states that the expression ""var162"" is not true until time 1539 and becomes true again after time 1689, and ""var163"" is not true during the same time interval. The second condition states that either ""var164"" or ""var165"" is not true."
"((not var166  || (var167 || var168)) || F [403,1664] (var169 until [957,1944] var170))","((not var166  or (var167 or var168)) or Finally [403,1664] (var169 until [957,1944] var170))","{'or': [{'or': [{'not': 'var166'}, {'or': ['var167', 'var168']}]}, {'eventually': {'bound': (403, 1664), 'expression': {'until': {'bound': (957, 1944), 'expressions': ['var169', 'var170']}}}}]}","The formula is an OR statement between two sub-formulas. The first sub-formula is an OR statement between the negation of variable var166 and the OR statement between variables var167 and var168. The second sub-formula is the eventuality operator from time 403 to 1664, which encompasses the until operator from time 957 to 1944 between variables var169 and var170."
